index,Username,Title_Review,Rating_Review,Review,State,Type_traveler,Date_Travel,Attraction_id
90,Elisa Ferreira M,MARAVILHOSO!,50,"Diversidade e bom gosto resumem este ponto turístico, além dos restaurantes que dispõe de culinária local exuberante. Possui ainda uma cerveja artesanal de bacuri única. Ambiente familiar, super indico.","Rio de Janeiro, RJ",Families,2018-07-01,2
91,RicardoOCoutinho,Vista agradável e bons restaurantes ,50,Uma bela arquitetura com uma vista do Rio agradável e bons restaurantes com infraestrutura. Vale a visita!,"Bauru, SP",Families,2018-07-01,2
92,Ana Clara C,Local agradável,40,"A estação das docas é um lugar aprazível para um passeio em família, pois podemos estacionar com segurança, comer, tomar o delicioso sorvete cairu e curtir o ventinho que vem do rio. Lugar muito agradável. A única ressalva é em relação aos preços praticados, pois são um pouco exorbitante, tornando o passeio proibitivo para a maioria das pessoas.","Rio de Janeiro, RJ",Families,2018-07-01,2
93,Marcio Cardim,Muito bonito,50,Bonito visual do por do sol. Otimas opções de bares e restaurantes. Imperdivel em Belem. Destaque Sorveteria Cairu e Cervejaria Amazon Beer,,Families,2018-07-01,2
94,lemospereiraadriana,Lugar para relaxar,50,"Um espaço fantástico, com excelente estrutura de banheiros e restaurantes que nos proporcionam agradáveis momentos no final da tarde de onde se pode observar o pôr do sol.Muito agradável ficar em um dos restaurantes na parte de dentro (climatizada) ou de fora comendo um petisco e bebendo uma cerveja. Você também pode simplesmente apreciar a paisagem sentado em um dos bancos espalhados pelo local, ouvindo uma boa música e saboreando um delicioso sorvete das sorveterias locais.",,Families,2018-07-01,2
95,Gabriela,É o point,50,"Lugar delicioso, apesar de ficar aberto o dia todo é a tardinha/noite que ferve. Aproveite para assistir um belíssimo por do sol e tomar um chope no happy hour.","Niterói, RJ",Families,2018-07-01,2
96,MARA R,Lugar lindo,50,"Adorei a Estação das Docas, muitos restaurantes com comida regional, no dia em que fui, estavam tendo apresentações culturais, tem lojinhas de artesanatos. Um lugar muito agradavel, e no final da tarde o por do sol é incrivel...","Campo Grande, MS",Families,2018-06-01,2
97,isadorakalif,Melhor programa pra quem vai à Belém,50,"Pôr do sol na Estação, passeios no fim de tarde e finais de semana, com os passeios de barco e terminando com um sorvete da Cairu: melhor programação pra qualquer turista que visita Belém e mesmo para os moradores. Várias opções de restaurantes e comida local, lojinhas de artesanato e souvenir. Não pode ficar de fora do roteiro!","Belém, PA",Families,2018-04-01,2
98,Gabriela C,Lindo!,50,Visite! Uma delícia de lugar para passear em qualquer momento de sua estadia em Belém. Inesquecível!!!,"São Paulo, SP",Families,2018-07-01,2
99,Fernando P,Lugar bonito e tranquilo,50,"Lugar bonito,tranquilo e seguro com bons restaurantes onde encontram comidas típicas da região. Saídas de passeios de barco,",,Families,2018-06-01,2
100,Suelen S,bem legal,40,local agradavel para ver o por do sol e tomar um sorvete com sabores que só tem la vale a pena a vista do local,"Salto, SP",Families,2018-06-01,2
