,Name,Rating_attaction,Username,Title_Review,Rating_Review,Review,Date,State,Type_traveler
12030,Praça da República,40,Níbio p,Muito bonita pena ser tão mal cuidada.,40,"Umas das principais praças de Belém com mangueiras gigantes e arvores seculares, e estruturas arquitetónicas belissimas so que um tanto descuidadas e deterioradas, aos Domingos tem uma feirinha que bastante movimentada e bem frequentada, vale a pena conferir, como os próprios paraenses falam, é uma feira que se vende de tudo do cachorro ao artezanato Marajoara.Tem famílias que vão para passar a manhã em um lazer bem diferente e outros só para andar, mais é muito bacana mesmo.Se puder provem da cachaça de Jambu em uma das bancas e veja que sensação diferente ter sua boca formigando e adormecida ao mesmo tempo.", abril de 2015,"Fortaleza, CE",Families
12031,Praça da República,40,Isabel8861,Linda,30,"Linda. Belíssimos monumentos. No entanto, mal frequentada, à noite principalmente. No Domingo há uma ótima feira de artesanato.", maio de 2015,"Rio de Janeiro, RJ",Families
12032,Praça da República,40,MZO-2015,As árvores formam uma linda paisagem,50,As árvores formam uma bonita paisagem. os cumes se encontram formando um arco belíssimo.Aos domingos pela manhã tem uma feirinha de artesanato local.Na praça fica o Teatro da Paz que não podem deixar de visitar., maio de 2015,"São Paulo, SP",Families
12033,Praça da República,40,Rose S,Centro histórico,50,"A praça é linda rodeada de mangueiras, contém o teatro e o mais antigo bar de Belém. É o centro histórico da cidade.", abril de 2015,"São Paulo, SP",Families
12034,Praça da República,40,STNPC,Pouco movimentada,30,"Talvez por ter sido em um sábado pela manhã, mas estava praticamente sem ninguém. Local é agradável e é onde está localizado o teatro municipal.", março de 2015,"Fortaleza, CE",Families
12035,Praça da República,40,leonardo231,feirinha dominical,50,"O melhor da praça é a feirinha que acontece aos domingos, são tantas barracas que fica difícil escolher o que comprar.... a praça é linda e arborizada!!!", abril de 2015,"Maceió, AL",Families
12036,Praça da República,40,Alessandra M,Ok,30,"A praça é bem bonita mas está mal cuidada.Fica no centro de Belém, com o Teatro da Paz bem ao centro. Aos domingos tem uma feira de artesanato, comidas, aminais, brinquedos... quase tudo!", julho de 2014,"Belém, PA",Families
12037,Praça da República,40,Henriquesvn,"Belíssima, porém abandonada!",40,"A Praça da República de dia é muito bonita, porém abandonada. Durante o dia pode servir para um passeio familiar ou uma visita ao Teatro da Paz (lindíssimo). Entretanto, durante a noite fica perigosa e ponto de turismo sexual na cidade (não recomendo nem passar perto).", janeiro de 2015,"Belém, PA",Families
12038,Praça da República,40,Talia B,A melhor praça de Belém,50,"Ótimo, passeio para fazer em família no domingo, a praça tem varias barraquinhas de comidas,artesanatos e outros itens,fica bastante movimentado,alguns visitantes levam seus animas para passear na praça, excelente passeio não percam.", janeiro de 2015,"Belém, Para, Brazil",Families
12039,Praça da República,40,Isabel S,Precisa de mais atenção,40,"Uma bela praça, dia de domingo cedo acontece as vendas de artesanato, lanches e entre outras coisas, mas infelizmente há pessoas que não sabem cuidar do patrimônio público e acabam destruindo as ""coisas"" que ficam na praça. Andar por ali em alguns horários onde há pouco movimento requer cuidado... na verdade, ultimamente andar ali é preciso possuir atenção.", março de 2015,"Niterói, RJ",Families
12040,Praça da República,40,Eliane M,Descaso  das Autoridades,20,"Quem a visita pode notar que ela ainda tem seu charme, com chafarizes, coretos, um belo  monumento neo-clássico em seu centro e o lindíssimo Teatro da Paz em frente. Nos faz pensar na riqueza dos tempos da Borracha na Região Amazônica. Hoje, largada, suja, deteriorada, com a grama alta, seus jardins cheios de mato, com pedintes e sem-tetos deitados em seus bancos. Ronda a insegurança e incivilidade. A principal praça da cidade neste descaso! Exemplo cabal do descaso dos nossos governantes.", janeiro de 2015,"Belém, PA",Families
